Age,Gender,Marital_Status,Customer_Region,Product_Category,Preferred_Payment_Method,Preferred_Delivery_Option,Device_Used,Annual_Income,Spending_Score,Average_Order_Value,Number_of_Orders,Review_Score,Age_Group,Engagement_Level,High_Spender,Cluster
69,0,1,Asia,Fashion,PayPal,Standard,Tablet,192704,60,182.4,78,2,60+,Active,0,0
62,0,1,Europe,Sports,Credit Card,Standard,Desktop,165578,36,342.85,25,4,60+,Occasional,0,0
52,0,0,Asia,Home,Debit Card,Same-Day,Tablet,66523,46,275.57,68,2,46-60,Active,0,3
56,1,0,North America,Sports,Net Banking,Standard,Mobile,193559,83,97.62,88,1,46-60,Occasional,0,3
56,0,0,South America,Sports,Net Banking,Same-Day,Desktop,57461,60,438.02,86,2,46-60,Highly Active,0,3
19,1,0,South America,Beauty,PayPal,Same-Day,Tablet,87200,67,99.03,35,2,18-25,Occasional,0,1
29,0,0,Asia,Beauty,Debit Card,Same-Day,Tablet,102926,25,407.34,2,5,26-35,Occasional,0,1
18,0,0,North America,Electronics,Net Banking,Standard,Tablet,184826,40,765.88,17,3,18-25,Occasional,0,1
43,1,1,Europe,Home,PayPal,Same-Day,Desktop,42447,45,880.09,47,5,36-45,Active,0,2
55,1,1,Asia,Electronics,Credit Card,Express,Desktop,62935,78,841.14,31,4,46-60,Active,1,3
43,1,0,South America,Home,Credit Card,Standard,Mobile,117590,55,893.93,84,3,36-45,Occasional,1,1
26,1,0,North America,Fashion,Debit Card,Same-Day,Desktop,193483,38,106.81,21,5,26-35,Occasional,0,1
67,1,1,South America,Electronics,Debit Card,Same-Day,Desktop,32738,40,201.26,90,2,60+,Occasional,0,0
42,0,0,Asia,Fashion,Net Banking,Same-Day,Mobile,37266,6,875.42,67,4,36-45,Occasional,0,1
53,1,0,Europe,Fashion,Net Banking,Standard,Mobile,186910,86,688.05,82,1,46-60,Occasional,1,3
58,1,1,Asia,Electronics,Credit Card,Standard,Mobile,62022,84,545.97,43,5,46-60,Occasional,1,3
27,0,1,North America,Beauty,PayPal,Standard,Desktop,197628,92,813.03,99,3,26-35,Occasional,1,1
32,1,0,North America,Beauty,Credit Card,Standard,Tablet,161713,16,721.84,73,4,26-35,Occasional,0,1
40,1,0,North America,Beauty,Debit Card,Standard,Tablet,36368,72,412.64,63,1,36-45,Active,0,2
35,1,1,North America,Home,Net Banking,Express,Desktop,124247,17,561.91,44,5,26-35,Active,0,2
52,1,1,Asia,Sports,PayPal,Express,Tablet,56865,60,328.89,29,3,46-60,Active,0,3
62,0,0,South America,Electronics,PayPal,Express,Mobile,62711,72,415.47,17,5,60+,Active,0,0
29,0,1,Europe,Beauty,Credit Card,Same-Day,Mobile,66379,7,117.76,91,3,26-35,Occasional,0,1
67,1,0,Europe,Home,Debit Card,Standard,Mobile,86843,36,443.49,42,5,60+,Occasional,0,0
36,0,0,North America,Beauty,Net Banking,Same-Day,Desktop,123840,83,891.42,79,3,36-45,Active,1,2
37,1,1,North America,Electronics,Credit Card,Standard,Tablet,76846,30,179.19,24,2,36-45,Active,0,2
50,1,1,Asia,Home,Net Banking,Standard,Tablet,123873,35,542.14,74,1,46-60,Active,0,3
65,1,1,North America,Home,Net Banking,Express,Tablet,149023,84,742.73,88,1,60+,Highly Active,1,0
64,1,0,North America,Home,Debit Card,Express,Mobile,61185,61,696.09,66,3,60+,Occasional,1,0
69,1,0,North America,Beauty,Credit Card,Same-Day,Desktop,149597,22,529.15,61,5,60+,Active,0,0
57,1,1,Europe,Home,PayPal,Express,Tablet,104416,66,301.18,99,1,46-60,Active,0,3
21,0,0,North America,Beauty,PayPal,Standard,Tablet,121582,63,536.15,66,3,18-25,Active,1,2
